Station,Community
"Crimscott Street, Bermondsey",0
"Temple Gardens, Temple",0
"Brunswick Square, Bloomsbury",0
"Sun Street, Liverpool Street",0
"Dorset Square, Marylebone",0
"St. Martin's Street, West End",0
"Tanner Street, Bermondsey",0
"Eversholt Street , Camden Town",0
"New Cavendish Street, Marylebone",0
"Little Argyll Street, West End",0
"Pancras Road, King's Cross",0
"Montpelier Street, Knightsbridge",0
"Charlotte Street, Fitzrovia",0
"Macclesfield Rd, St Lukes",0
"William IV Street, Strand",0
"Cloudesley Road, Angel",0
"Queen Mother Sports Centre, Victoria",0
"Horseferry Road, Westminster",0
"Mallory Street, Marylebone",0
"Crinan Street, King's Cross",0
"Carey Street, Holborn",0
"Wardour Street, Soho",0
"Fanshaw Street, Hoxton",0
"City Road, Angel",0
"North Audley Street, Mayfair",0
"Rampayne Street, Pimlico",0
"Southwick Street, Paddington",0
"Waterloo Bridge, South Bank",0
"Bunhill Row, Moorgate",0
"Warwick Square, Pimlico",0
"Baker Street, Marylebone",0
"Waterloo Station 1, Waterloo",0
"Walworth Square, Walworth",0
"Newgate Street , St. Paul's",0
"Farringdon Lane, Clerkenwell",0
"Boston Place, Marylebone",0
"Cromer Street, Bloomsbury",0
"Park Road (Baker Street), The Regent's Park",0
"Longford Street, The Regent's Park",0
"Broadley Terrace, Marylebone",0
"Snow Hill, Farringdon",0
"Harper Road, The Borough",0
"Grosvenor Square, Mayfair",0
"Fashion Street, Whitechapel",0
"Blackfriars Road, Southwark",0
"Lollard Street, Vauxhall",0
"Gower Place , Euston",0
"St. James's Square, St. James's",0
"Kings Gate House, Westminster",0
"Farringdon Street, Holborn",0
"Howick Place, Westminster",0
"Euston Road, Euston",0
"Brick Lane Market, Shoreditch",0
"St. Mary Axe, Aldgate",0
"Tower Gardens , Tower",0
"Somerset House, Strand",0
"Tysoe Street, Clerkenwell",0
"Roscoe Street, St. Luke's",0
"Hatton Garden, Holborn",0
"Killick Street, King's Cross",0
"Finsbury Square , Moorgate",0
"Embankment (Savoy), Strand",0
"Strand, Strand",0
"Tallis Street, Temple",0
"Abbey Orchard Street, Westminster",0
"Kingsway Southbound, Strand",0
"Park Street, Bankside",0
"Bolsover Street, Fitzrovia",0
"Harris Academy, Bermondsey",0
"New Inn Yard, Shoreditch",0
"Dickens Square, Borough",0
"Blackfriars Station, St. Paul's",0
"Buxton Street 1, Shoreditch",0
"Greenberry Street, St.John's Wood",0
"Fore Street, Guildhall",0
"Green Park Station, Mayfair",0
"Gloucester Street, Pimlico",0
"Museum of London, Barbican",0
"Victory Place, Walworth",0
"Allington Street, Victoria",0
"Norton Folgate, Liverpool Street",0
"Calshot Street , King's Cross",0
"Tavistock Place, Bloomsbury",0
"Upper Grosvenor Street, Mayfair",0
"Fournier Street, Whitechapel",0
"Finsbury Library , Finsbury",0
"Wellington Row, Bethnal Green",0
"Greycoat Street , Westminster",0
"Lambeth North Station, Waterloo",0
"Buckingham Gate, Westminster",0
"Southwark Street, Bankside",0
"West Smithfield Rotunda, Farringdon",0
