Start station,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Cluster,commonName,lat,lon,NbDocks,geometry,Community
"Abbey Orchard Street, Westminster",0.25,0.0,0.0,0.0,0.0,0.0,0.09090909090909083,0.0013586956521738358,-0.9454545454545453,-0.5896103896103895,-0.3571428571428572,0.18939393939393923,0.3309941520467836,0.09855769230769229,0.2045028142589118,0.625,1.417372881355932,3.873809523809524,1.8095238095238095,0.9420289855072463,0.13809523809523805,0.30000000000000004,0.25,0.375,0,"Abbey Orchard Street, Westminster",51.498125,-0.132102,29,POINT (699058.1843214651 5709120.832141998),1
"Abingdon Green, Westminster",-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.136876006441224,0.0714285714285714,0.12581699346405228,0.2837528604118993,0.6000000000000001,0.8071895424836599,0.49090909090909074,0.6780487804878048,0.2282828282828282,0.7635869565217392,1.4583333333333333,1.317738791423002,0.9447674418604652,0.45833333333333326,0.0,0.7142857142857142,0.0,0,"Abingdon Green, Westminster",51.49764,-0.125972,20,POINT (699485.7004948586 5709083.60437273),1
"Albert Gate, Hyde Park",-2.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111116,0.10580645161290314,1.0980392156862746,1.6444308445532436,0.46341463414634143,0.34482758620689635,1.480376766091052,1.3842195540308753,1.8169934640522873,1.7744107744107742,1.604545454545455,1.7488232777064607,2.366071428571429,0.3022941970310389,-0.3571428571428572,-0.37142857142857144,0.5625,-0.375,0,"Albert Gate, Hyde Park",51.502953,-0.158456,34,POINT (697208.4640703334 5709586.251576245),1
"Archbishop's Park, Waterloo",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2691532258064515,0.16149068322981375,0.09090909090909083,-0.38888888888888906,0.30000000000000004,0.248868778280543,-0.01666666666666683,0.4545454545454546,0.5499999999999998,0.4981447124304268,0.7118863049095607,0.48106060606060597,0.6086956521739131,-0.5,0.1428571428571428,0.125,0,"Archbishop's Park, Waterloo",51.498241,-0.117495,23,POINT (700071.3429518521 5709173.571098985),1
"Bank of England Museum, Bank",0.0,0.0,0.0,0.0,0.0,0.0,-1.9377705627705628,-0.34554199038105815,0.7211822660098521,0.3450292397660819,0.2416666666666667,0.5459183673469388,1.0381818181818183,1.2157190635451507,0.6296296296296298,0.8111111111111113,3.397435897435898,5.740237691001697,1.7130469057942452,1.0263157894736843,0.7571428571428571,0.2543859649122806,0.19999999999999996,0.0,0,"Bank of England Museum, Bank",51.514441,-0.087587,16,POINT (702075.1039451705 5711056.914529928),1
"Barbican Centre, Barbican",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272727272727272,0.45478204294079383,-0.5200501253132832,0.4380952380952381,-0.003472222222222321,0.2863202545068928,0.545219638242894,0.44622093023255816,0.4571428571428571,0.4521739130434783,0.8615036743923121,2.2874316939890713,1.8461538461538463,1.0452830188679247,1.5365853658536586,0.0,0.5714285714285714,0,"Barbican Centre, Barbican",51.520044,-0.092176,19,POINT (701731.9923194681 5711667.196516773),1
"Bath Street, St. Luke's",-0.16666666666666674,0.0,0.0,0.0,0.09677419354838701,0.0,-0.12836438923395455,1.2038135593220338,3.691176470588235,2.1182669789227164,0.9221052631578948,0.7481060606060608,0.6554054054054055,1.212512413108242,0.5419913419913418,0.8530769230769228,1.1427927927927926,2.1375661375661372,3.025714285714286,2.442326490713588,1.8344827586206895,0.9295900178253118,0.2777777777777777,0.4375,0,"Bath Street, St. Luke's",51.525893,-0.090847,18,POINT (701798.3034905228 5712321.163180962),1
"Bayley Street , Bloomsbury",0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.14230769230769225,0.1333333333333333,0.1522875816993463,0.125,-0.29473684210526296,0.7159090909090908,1.163265306122449,0.9045183290707588,0.7252747252747251,1.4885245901639343,3.2960102960102957,2.406041986687148,1.656648451730419,1.2635327635327638,0.680672268907563,0.43087557603686655,0.3532608695652173,0,"Bayley Street , Bloomsbury",51.518587,-0.132053,25,POINT (698972.3794746381 5711395.974766878),1
"Beaumont Street, Marylebone",0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,0.47357404500261646,1.1502463054187193,0.5040197897340755,0.4952561669829221,0.8543599257884973,0.2766217870257037,0.7657004830917877,0.45345345345345334,0.9137466307277631,0.9702380952380951,1.768476621417798,0.8167115902964961,0.7937915742793791,0.23232323232323226,0.48,0.5517241379310345,-0.4057971014492754,0,"Beaumont Street, Marylebone",51.522008,-0.151359,23,POINT (697618.4016948504 5711723.990769424),1
"Bedford Way, Bloomsbury",0.10000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999992,0.21875,0.6845238095238095,0.25,0.3076923076923077,0.2729528535980148,-0.06621392190152808,0.5948051948051949,0.2333333333333334,1.021276595744681,1.259259259259259,1.0962962962962963,-0.2249240121580547,0.41666666666666674,-0.33333333333333326,-0.3421052631578947,0.22222222222222232,0,"Bedford Way, Bloomsbury",51.523673,-0.128377,23,POINT (699205.159711735 5711971.453795089),1
"Blackfriars Road, Southwark",-0.0714285714285714,-2.0,0.0,0.0,0.0,0.0,0.1428571428571428,-0.39224137931034475,-0.8086206896551724,0.21475625823451905,0.6172248803827749,0.21875,0.8333333333333333,0.4744186046511629,0.25555555555555576,0.0,0.6997971602434077,2.4190476190476193,1.6035767511177348,1.0138888888888888,0.47846889952153115,0.6927536231884057,-0.7692307692307692,0.16666666666666674,0,"Blackfriars Road, Southwark",51.505461,-0.10454,42,POINT (700938.5875158405 5710011.8066652585),1
"Borough Road, Elephant & Castle",0.0,-0.25,0.0,0.0,0.5,0.125,0.0,0.6744186046511629,1.7182539682539684,0.8148148148148149,0.23076923076923084,0.1333333333333333,0.1992337164750957,0.24420677361853826,0.32638888888888884,0.17241379310344818,1.0947368421052632,0.9404761904761907,0.7523076923076926,0.3712121212121213,0.16165413533834583,0.0,-0.23076923076923084,0.4126984126984128,0,"Borough Road, Elephant & Castle",51.498898,-0.10044,41,POINT (701251.9889492306 5709293.392625363),1
"Brushfield Street, Liverpool Street",0.3571428571428572,-0.05555555555555558,0.0,-0.06666666666666665,0.19999999999999996,-0.625,-2.2106261859582546,-0.567647933392804,-1.5939393939393942,0.04601125455147281,0.8040170419963484,1.0088652482269505,1.6683569979716022,1.126559714795009,1.015212981744422,1.6474137931034485,3.113735465116279,8.798150510204081,5.860931899641577,2.177801724137931,1.0185185185185186,0.6186868686868685,0.1051282051282052,0.4411764705882353,0,"Brushfield Street, Liverpool Street",51.518908,-0.079249,34,POINT (702633.6802803889 5711576.627826137),1
