Station,Community
"Crimscott Street, Bermondsey",2
"Temple Gardens, Temple",2
"Brunswick Square, Bloomsbury",1
"Sun Street, Liverpool Street",1
"Dorset Square, Marylebone",0
"St. Martin's Street, West End",0
"Tanner Street, Bermondsey",2
"Eversholt Street , Camden Town",1
"New Cavendish Street, Marylebone",0
"Little Argyll Street, West End",0
"Pancras Road, King's Cross",1
"Montpelier Street, Knightsbridge",0
"Charlotte Street, Fitzrovia",0
"Macclesfield Rd, St Lukes",1
"William IV Street, Strand",0
"Cloudesley Road, Angel",1
"Queen Mother Sports Centre, Victoria",0
"Horseferry Road, Westminster",0
"Mallory Street, Marylebone",0
"Crinan Street, King's Cross",1
"Carey Street, Holborn",1
"Wardour Street, Soho",0
"Fanshaw Street, Hoxton",1
"City Road, Angel",1
"North Audley Street, Mayfair",0
"Rampayne Street, Pimlico",0
"Southwick Street, Paddington",0
"Waterloo Bridge, South Bank",2
"Bunhill Row, Moorgate",1
"Warwick Square, Pimlico",0
"Baker Street, Marylebone",0
"Waterloo Station 1, Waterloo",0
"Walworth Square, Walworth",2
"Newgate Street , St. Paul's",1
"Farringdon Lane, Clerkenwell",1
"Boston Place, Marylebone",0
"Cromer Street, Bloomsbury",1
"Park Road (Baker Street), The Regent's Park",0
"Longford Street, The Regent's Park",0
"Broadley Terrace, Marylebone",0
"Snow Hill, Farringdon",1
"Harper Road, The Borough",2
"Grosvenor Square, Mayfair",0
"Fashion Street, Whitechapel",1
"Blackfriars Road, Southwark",2
"Lollard Street, Vauxhall",2
"Gower Place , Euston",1
"St. James's Square, St. James's",0
"Kings Gate House, Westminster",0
"Farringdon Street, Holborn",2
"Howick Place, Westminster",2
"Euston Road, Euston",0
"Brick Lane Market, Shoreditch",1
"St. Mary Axe, Aldgate",1
"Tower Gardens , Tower",2
"Somerset House, Strand",2
"Tysoe Street, Clerkenwell",1
"Roscoe Street, St. Luke's",1
"Hatton Garden, Holborn",1
"Killick Street, King's Cross",1
"Finsbury Square , Moorgate",1
"Embankment (Savoy), Strand",2
"Strand, Strand",1
"Tallis Street, Temple",2
"Abbey Orchard Street, Westminster",0
"Kingsway Southbound, Strand",1
"Park Street, Bankside",2
"Bolsover Street, Fitzrovia",0
"Harris Academy, Bermondsey",2
"New Inn Yard, Shoreditch",1
"Dickens Square, Borough",2
"Blackfriars Station, St. Paul's",2
"Buxton Street 1, Shoreditch",1
"Greenberry Street, St.John's Wood",0
"Fore Street, Guildhall",1
"Green Park Station, Mayfair",0
"Gloucester Street, Pimlico",0
"Museum of London, Barbican",1
"Victory Place, Walworth",2
"Allington Street, Victoria",0
"Norton Folgate, Liverpool Street",1
"Calshot Street , King's Cross",1
"Tavistock Place, Bloomsbury",1
"Upper Grosvenor Street, Mayfair",0
"Fournier Street, Whitechapel",1
"Finsbury Library , Finsbury",1
"Wellington Row, Bethnal Green",1
"Greycoat Street , Westminster",0
"Lambeth North Station, Waterloo",2
"Buckingham Gate, Westminster",0
"Southwark Street, Bankside",2
"West Smithfield Rotunda, Farringdon",1
"New Fetter Lane, Holborn",2
"Risinghill Street, Angel",1
"Cheapside, Bank",1
