Station,Community
"Crimscott Street, Bermondsey",0
"Temple Gardens, Temple",1
"Brunswick Square, Bloomsbury",2
"Sun Street, Liverpool Street",0
"Dorset Square, Marylebone",1
"St. Martin's Street, West End",1
"Tanner Street, Bermondsey",0
"Eversholt Street , Camden Town",2
"New Cavendish Street, Marylebone",1
"Little Argyll Street, West End",1
"Pancras Road, King's Cross",2
"Montpelier Street, Knightsbridge",1
"Charlotte Street, Fitzrovia",2
"Macclesfield Rd, St Lukes",2
"William IV Street, Strand",1
"Cloudesley Road, Angel",2
"Queen Mother Sports Centre, Victoria",1
"Horseferry Road, Westminster",1
"Mallory Street, Marylebone",1
"Crinan Street, King's Cross",2
"Carey Street, Holborn",0
"Wardour Street, Soho",1
"Fanshaw Street, Hoxton",0
"City Road, Angel",2
"North Audley Street, Mayfair",1
"Rampayne Street, Pimlico",1
"Southwick Street, Paddington",1
"Waterloo Bridge, South Bank",0
"Bunhill Row, Moorgate",0
"Warwick Square, Pimlico",1
"Baker Street, Marylebone",1
"Waterloo Station 1, Waterloo",1
"Walworth Square, Walworth",0
"Newgate Street , St. Paul's",2
"Farringdon Lane, Clerkenwell",0
"Boston Place, Marylebone",1
"Cromer Street, Bloomsbury",2
"Park Road (Baker Street), The Regent's Park",1
"Longford Street, The Regent's Park",2
"Broadley Terrace, Marylebone",1
"Snow Hill, Farringdon",0
"Harper Road, The Borough",0
"Grosvenor Square, Mayfair",1
"Fashion Street, Whitechapel",0
"Blackfriars Road, Southwark",0
"Lollard Street, Vauxhall",0
"Gower Place , Euston",2
"St. James's Square, St. James's",1
"Kings Gate House, Westminster",1
"Farringdon Street, Holborn",0
"Howick Place, Westminster",1
"Euston Road, Euston",2
"Brick Lane Market, Shoreditch",0
"St. Mary Axe, Aldgate",0
"Tower Gardens , Tower",0
"Somerset House, Strand",0
"Tysoe Street, Clerkenwell",2
"Roscoe Street, St. Luke's",0
"Hatton Garden, Holborn",0
"Killick Street, King's Cross",2
"Finsbury Square , Moorgate",0
"Embankment (Savoy), Strand",0
"Strand, Strand",0
"Tallis Street, Temple",0
"Abbey Orchard Street, Westminster",1
"Kingsway Southbound, Strand",2
"Park Street, Bankside",0
"Bolsover Street, Fitzrovia",2
"Harris Academy, Bermondsey",0
"New Inn Yard, Shoreditch",0
"Dickens Square, Borough",0
"Blackfriars Station, St. Paul's",0
"Buxton Street 1, Shoreditch",0
"Greenberry Street, St.John's Wood",1
"Fore Street, Guildhall",0
"Green Park Station, Mayfair",1
"Gloucester Street, Pimlico",1
"Museum of London, Barbican",0
"Victory Place, Walworth",0
"Allington Street, Victoria",1
"Norton Folgate, Liverpool Street",0
"Calshot Street , King's Cross",2
"Tavistock Place, Bloomsbury",2
"Upper Grosvenor Street, Mayfair",1
"Fournier Street, Whitechapel",0
"Finsbury Library , Finsbury",2
"Wellington Row, Bethnal Green",0
"Greycoat Street , Westminster",1
"Lambeth North Station, Waterloo",0
"Buckingham Gate, Westminster",1
"Southwark Street, Bankside",0
"West Smithfield Rotunda, Farringdon",0
"New Fetter Lane, Holborn",0
"Risinghill Street, Angel",2
"Cheapside, Bank",0
"Cotton Garden Estate, Kennington",0
"Sancroft Street, Vauxhall",1
"Sail Street, Vauxhall",0
"Houndsditch, Aldgate",0
"Royal Avenue 1, Chelsea",1
"Moorfields, Moorgate",0
"Concert Hall Approach 2, South Bank",0
"Smith Square, Westminster",1
"British Museum, Bloomsbury",2
"Broadwick Street, Soho",1
"Northumberland Avenue, Strand",1
"Geraldine Street, Elephant & Castle",0
"Millbank Tower, Pimlico",1
"Lincoln's Inn Fields, Holborn",2
"Wood Street, Guildhall",0
"Kingsway, Covent Garden",2
"Grafton Street, Mayfair",1
"Triangle Car Park, Hyde Park",1
"Scala Street, Fitzrovia",2
"Portugal Street, Holborn",0
"Westminster University, Marylebone",2
"Houghton Street, Strand",0
"Marylebone Lane, Marylebone",1
"Queen Street 2, Bank",0
"Portman Square, Marylebone",1
"Torrens Street, Angel",2
"Westminster Bridge Road, Elephant & Castle",0
"Northdown Street, King's Cross",2
"Guildhouse Street, Victoria",1
"Albert Embankment, Vauxhall",1
"The Tennis Courts, The Regent's Park",1
"Bayley Street , Bloomsbury",2
"Chapel Place, Marylebone",1
"Cadogan Gardens, Chelsea",1
"Lavington Street, Bankside",0
"Howland Street, Fitzrovia",2
"Bank of England Museum, Bank",0
"Warwick Row, Westminster",1
"George Place Mews, Marylebone",1
"Woodstock Street, Mayfair",1
"Farm Street, Mayfair",1
"Cadogan Place, Knightsbridge",1
"Stanhope Gate, Mayfair",1
"King Edward Street, St Pauls",0
"Butler Place, Westminster",1
"Clifton Street, Shoreditch",0
"Holborn Circus, Holborn",2
"Rathbone Street, Fitzrovia",2
"Stamford Street, South Bank",0
"Coram Street, Bloomsbury",2
"Bury Place, Holborn",2
"Finsbury Circus, Liverpool Street",0
"Park Lane , Hyde Park",1
"Golden Square, Soho",1
"Charles II Street, West End",1
"Euston Square Gardens, Euston",2
