Start station,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Cluster
"Allington Street, Victoria",0.0,0.0,0.0,0.0,0.0,-0.16666666666666674,0.7446808510638299,2.8106473079249845,3.508363201911589,3.466666666666667,1.0,1.2268907563025209,0.7013888888888891,0.7509157509157509,0.640926640926641,0.21764705882352953,0.6090909090909091,1.2435325602140943,2.040446841294299,1.01364522417154,0.637630662020906,0.0641025641025641,0.8999999999999999,0.4444444444444444,0
"Bell Lane, Liverpool Street",0.0,0.3999999999999999,0.0,0.0,0.0,0.0,0.11538461538461542,0.6851851851851851,1.006578947368421,1.192090395480226,0.523809523809524,0.48571428571428577,0.6602787456445993,0.7028985507246377,0.5857142857142856,0.25,0.4853658536585366,0.7927272727272727,0.9529032258064514,0.2119148936170212,0.31660231660231664,0.75,0.19827586206896552,0.7083333333333335,0
"Belvedere Road 1, South Bank",0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.1499999999999999,2.0847457627118646,5.11864406779661,1.7348484848484846,0.1742424242424243,0.2051282051282053,0.17241379310344818,0.37037037037037046,0.14529914529914545,0.29166666666666674,0.5,0.13006756756756754,0.2085106382978723,0.1708333333333334,0.3384615384615386,0.4782608695652173,0.6142857142857141,0.1875,0
"Belvedere Road 2, South Bank",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8166666666666667,3.42,1.4444444444444446,-0.10000000000000009,0.25,0.5652173913043479,-0.07575757575757591,0.16428571428571415,0.25595238095238093,0.2603174603174603,0.22710622710622697,-0.028846153846153966,0.17619047619047623,0.14814814814814814,0.07000000000000006,0.39583333333333326,0.6428571428571428,0
"Bethnal Green Road, Shoreditch",0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.3974468085106382,2.530508474576271,4.983268983268983,2.164874551971326,0.9791666666666667,0.8958333333333335,0.8758169934640523,0.9223484848484846,0.5391304347826087,0.72,0.9750445632798572,0.9284712482468442,1.7278688524590162,2.0476858345021034,0.8753846153846154,0.9982993197278913,0.582236842105263,0.3999999999999999,1
"Birkenhead Street, King's Cross",0.1875,0.30000000000000004,0.1428571428571428,0.3999999999999999,0.1428571428571428,0.19999999999999996,0.47777777777777763,4.175862068965516,5.475409836065574,1.615740740740741,1.219435736677116,0.9089635854341735,0.5,0.17321428571428577,-0.014285714285714235,0.15259740259740262,-0.0964912280701753,0.2606516290726817,0.5535092085614735,0.9887429643527206,0.17156862745098023,0.8308080808080811,0.8730769230769231,0.35483870967741926,0
"Boston Place, Marylebone",0.0,0.0,0.0,0.0,0.0,0.0,2.5272727272727273,8.707070707070708,14.579918032786885,3.209677419354839,2.1372549019607843,0.8372093023255813,0.7797619047619047,0.5897435897435896,0.5517241379310345,-0.06041666666666656,0.0888888888888888,0.16490566037735865,0.9155374887082204,0.39676113360323884,0.2564102564102564,0.07575757575757591,0.16161616161616155,-0.16666666666666674,0
"Brandon Street, Walworth",0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.5,2.5762711864406778,0.898809523809524,0.4878048780487805,0.20833333333333326,0.7857142857142858,0.5294117647058822,0.4055299539170507,0.23809523809523814,0.2571428571428571,0.3126050420168067,0.36111111111111116,0.36116152450090744,0.21739130434782616,-0.20769230769230762,0.1333333333333333,-0.2857142857142858,0
"Brick Lane Market, Shoreditch",0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.7317073170731707,0.46153846153846145,0.41176470588235303,0.11764705882352944,-0.16666666666666652,0.38235294117647056,0.5427350427350426,0.5,0.25,0.2738095238095237,0.49259259259259247,0.30952380952380953,0.12698412698412698,0.611842105263158,0.6571428571428573,0.040000000000000036,0.2279411764705883,0
"Bricklayers Arms, Borough",-0.125,0.16666666666666674,0.0,0.5,0.0,0.29166666666666674,0.6216216216216217,3.0491803278688527,7.451612903225806,3.2295081967213113,0.14285714285714302,0.6902356902356903,0.7127158555729982,0.8920454545454546,0.6111111111111109,0.2954545454545454,0.5227995758218453,0.9719839908519154,0.9865900383141761,0.8532763532763532,0.203931203931204,-0.1807692307692308,-0.04444444444444451,0.0,0
"Broadley Terrace, Marylebone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333335,0.8399999999999999,0.7755102040816326,0.33333333333333326,0.30434782608695654,0.40909090909090917,-0.039215686274509665,0.38095238095238093,-0.06060606060606055,0.36363636363636354,0.20833333333333326,0.10574712643678152,0.09523809523809534,0.10576923076923084,0.25,-0.19999999999999996,-0.19999999999999996,0
"Broadwick Street, Soho",0.25,0.25,0.0,0.0,0.0,0.0,-0.2833333333333332,0.5625,-0.12023809523809526,0.2823858341099721,0.20606060606060606,0.45945945945945943,0.09404761904761916,0.44166666666666665,0.7478632478632481,0.9837662337662336,0.8269230769230769,2.3476190476190473,2.466386554621849,1.3805418719211822,1.4333333333333333,0.7538759689922481,0.08045977011494254,0.5,1
"Buckingham Gate, Westminster",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18518518518518512,0.21905222437137328,0.28333333333333344,0.23750000000000004,0.7999999999999998,0.7479674796747966,-0.25,0.9659090909090908,1.0653409090909092,0.37307692307692286,2.294827586206896,1.1875000000000002,0.7096774193548387,0.24,0.10869565217391308,0.10000000000000009,0.0,0
"Cadogan Place, Knightsbridge",0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3600000000000001,0.930232558139535,0.16666666666666652,-0.4636363636363636,0.25,0.5333333333333332,0.19047619047619047,0.12637362637362637,0.0714285714285714,0.5833333333333333,0.30000000000000004,0.5341880341880343,0.1071428571428572,-0.38888888888888884,0.7142857142857142,0.19999999999999996,0.0,0
"Cartwright Gardens , Bloomsbury",0.16666666666666674,-0.25,-0.33333333333333326,-1.0,-0.5,0.19999999999999996,0.016666666666666607,0.41666666666666674,1.3809523809523812,1.1481481481481484,0.8504273504273503,0.49786324786324787,1.053511705685619,0.5991041433370661,0.5909090909090908,1.168103448275862,0.3173076923076923,0.7698113207547173,0.7704081632653059,0.34013605442176886,0.4126984126984128,-0.03888888888888875,0.14854111405835546,0.0625,0
"City Road, Angel",1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142858,0.8,2.2796610169491527,1.1437908496732025,0.894736842105263,0.5,0.23076923076923084,0.10000000000000009,-0.01666666666666683,0.2727272727272727,0.26086956521739135,1.0446428571428572,0.6767983789260386,0.3042424242424242,-0.13122171945701355,0.012987012987013102,-0.23333333333333317,0.1313131313131315,0
"Claremont Square, Angel",0.25,0.0,0.0,0.0,0.0,0.0,0.11111111111111116,0.7391304347826086,1.2406779661016951,0.7027027027027026,0.0,0.30000000000000004,0.41666666666666674,0.3571428571428572,0.2114695340501791,0.6818181818181819,0.3272727272727274,0.4910714285714286,0.20945945945945943,0.357843137254902,0.13986013986014,0.16666666666666674,0.19047619047619047,-0.033333333333333215,0
"Clifford Street, Mayfair",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13043478260869557,-0.6000000000000001,-0.23076923076923084,-0.2666666666666666,0.29166666666666674,0.43999999999999995,0.42307692307692313,0.02580645161290329,-0.3035714285714286,0.37254901960784315,1.5178571428571428,2.0,0.2592592592592593,0.11111111111111116,0.0,0.0,0.0,0
"Cloudesley Road, Angel",0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.274193548387097,5.078688524590164,1.406779661016949,0.6190476190476191,0.3055555555555556,0.47058823529411775,0.18518518518518512,0.40909090909090917,0.30434782608695654,0.01666666666666683,0.3436293436293436,0.1428571428571428,0.1428571428571428,-0.10317460317460303,0.25,-0.11363636363636354,0.0,0
"Colombo Street, Southwark",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111116,0.16666666666666674,0.19999999999999996,0.08333333333333326,0.11111111111111116,0.11111111111111116,0.0,0.3500000000000001,0.0,0.0,0.46666666666666656,0.25,0.25,0.0,0.0,0
