commonName,lat,lon,NbDocks,geometry,Cluster
"Great Titchfield Street, Fitzrovia",51.520253,-0.141327,19,POINT (698321.847951865 5711556.018079278),3
"Panton Street, West End",51.509639,-0.13151,21,POINT (699049.0644819308 5710402.59342439),3
"Breams Buildings, Holborn",51.515937,-0.111778,25,POINT (700390.3865247396 5711156.691134849),2
"Tanner Street, Bermondsey",51.500647,-0.0786,41,POINT (702759.794276841 5709548.149848734),4
"Sancroft Street, Vauxhall",51.489479,-0.115156,24,POINT (700272.0753658137 5708205.796742623),1
"Bayley Street , Bloomsbury",51.518587,-0.132053,25,POINT (698972.3794746381 5711395.974766878),2
"Tavistock Place, Bloomsbury",51.52625,-0.123509,19,POINT (699531.5193631442 5712271.240219196),2
"Harrington Square 1, Camden Town",51.533019,-0.139174,27,POINT (698415.6554384434 5712981.214701163),2
"Walnut Tree Walk, Vauxhall",51.493686,-0.111014,20,POINT (700541.0962570903 5708684.881665021),1
"Borough Road, Elephant & Castle",51.498898,-0.10044,41,POINT (701251.9889492306 5709293.392625363),1
"Cloudesley Road, Angel",51.534408,-0.109025,37,POINT (700500.1666508615 5713217.877443359),2
"Bricklayers Arms, Borough",51.495061,-0.085814,28,POINT (702283.9456401997 5708907.124622811),1
"Aldersgate Street, Barbican",51.520841,-0.09734,15,POINT (701370.28869462 5711741.5781393135),4
"Falkirk Street, Hoxton",51.53095,-0.078505,26,POINT (702631.795360232 5712917.5333549045),4
"Hampstead Road, Euston",51.525542,-0.138231,54,POINT (698513.581574933 5712152.46139748),2
"Old Quebec Street, Marylebone",51.514577,-0.158264,16,POINT (697171.574640956 5710879.157249407),0
"Albert Embankment, Vauxhall",51.490435,-0.122806,24,POINT (699736.9161094319 5708291.176671244),3
"Queen Street 1, Bank",51.511553,-0.09294,22,POINT (701716.5259471744 5710721.048348314),4
"Jewry Street, Aldgate",51.513406,-0.076793,17,POINT (702828.4891520398 5710971.71664447),4
"Crosswall, Tower",51.511594,-0.077121,34,POINT (702813.7865835119 5710769.347230517),4
"Woodstock Street, Mayfair",51.514105,-0.147301,21,POINT (697934.1392369713 5710856.286341023),0
"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317,20,POINT (701418.433361303 5712318.870363641),4
"Abbey Orchard Street, Westminster",51.498125,-0.132102,29,POINT (699058.1843214651 5709120.832141998),3
"Park Lane , Hyde Park",51.510017,-0.157275,28,POINT (697259.8885787417 5710374.830105422),0
"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963,22,POINT (697080.1503651306 5711982.4314466),0
"Braham Street, Aldgate",51.514233,-0.073537,34,POINT (703050.6851769448 5711072.6966822855),4
