commonName,lat,lon,NbDocks,geometry,Station_number,Community,attraction_count,buffer,within_count,intersects_count
"Tachbrook Street, Victoria",51.492111,-0.138364,16,POINT (698649.7816713944 5708435.164853748),965,3,0,"POLYGON ((699149.7816713944 5708435.164853748, 699147.3740347305 5708386.1562835835, 699140.174311596 5708337.61969274, 699128.2518392605 5708290.022515121, 699111.72143765 5708243.8231375655, 699090.7423035685 5708199.466485335, 699065.5164775456 5708157.379737238, 699036.2868980757 5708117.968211666, 699003.3350619876 5708081.611463155, 698966.9783134762 5708048.659627067, 698927.5667879041 5708019.430047597, 698885.4800398074 5707994.204221574, 698841.1233875769 5707973.225087493, 698794.9240100216 5707956.694685882, 698747.3268324024 5707944.772213547, 698698.7902415592 5707937.572490412, 698649.7816713944 5707935.164853748, 698600.7731012296 5707937.572490412, 698552.2365103863 5707944.772213547, 698504.6393327671 5707956.694685882, 698458.4399552118 5707973.225087493, 698414.0833029813 5707994.204221574, 698371.9965548846 5708019.430047597, 698332.5850293125 5708048.659627067, 698296.2282808011 5708081.611463155, 698263.276444713 5708117.968211666, 698234.0468652431 5708157.379737238, 698208.8210392202 5708199.466485335, 698187.8419051387 5708243.8231375655, 698171.3115035283 5708290.022515121, 698159.3890311928 5708337.61969274, 698152.1893080582 5708386.1562835835, 698149.7816713944 5708435.164853748, 698152.1893080582 5708484.173423912, 698159.3890311928 5708532.710014756, 698171.3115035283 5708580.307192375, 698187.8419051387 5708626.50656993, 698208.8210392202 5708670.863222161, 698234.0468652431 5708712.9499702575, 698263.276444713 5708752.36149583, 698296.2282808011 5708788.718244341, 698332.5850293125 5708821.670080429, 698371.9965548846 5708850.899659899, 698414.0833029813 5708876.125485922, 698458.4399552118 5708897.104620003, 698504.6393327671 5708913.635021614, 698552.2365103863 5708925.557493949, 698600.7731012296 5708932.757217084, 698649.7816713944 5708935.164853748, 698698.7902415592 5708932.757217084, 698747.3268324024 5708925.557493949, 698794.9240100216 5708913.635021614, 698841.1233875769 5708897.104620003, 698885.4800398074 5708876.125485922, 698927.5667879041 5708850.899659899, 698966.9783134762 5708821.670080429, 699003.3350619876 5708788.718244341, 699036.2868980757 5708752.36149583, 699065.5164775456 5708712.9499702575, 699090.7423035685 5708670.863222161, 699111.72143765 5708626.50656993, 699128.2518392605 5708580.307192375, 699140.174311596 5708532.710014756, 699147.3740347305 5708484.173423912, 699149.7816713944 5708435.164853748))",2,2
"Holy Trinity Brompton, Knightsbridge",51.497056,-0.168917,28,POINT (696507.9587419257 5708902.460507984),1002,3,0,"POLYGON ((697007.9587419257 5708902.460507984, 697005.5511052618 5708853.45193782, 696998.3513821273 5708804.915346976, 696986.4289097917 5708757.318169357, 696969.8985081813 5708711.118791802, 696948.9193740998 5708666.762139571, 696923.6935480769 5708624.675391475, 696894.463968607 5708585.263865902, 696861.5121325189 5708548.907117391, 696825.1553840075 5708515.955281303, 696785.7438584354 5708486.725701833, 696743.6571103387 5708461.49987581, 696699.3004581082 5708440.520741729, 696653.1010805529 5708423.990340118, 696605.5039029337 5708412.067867783, 696556.9673120904 5708404.868144648, 696507.9587419257 5708402.460507984, 696458.9501717609 5708404.868144648, 696410.4135809176 5708412.067867783, 696362.8164032984 5708423.990340118, 696316.6170257431 5708440.520741729, 696272.2603735126 5708461.49987581, 696230.1736254159 5708486.725701833, 696190.7620998438 5708515.955281303, 696154.4053513324 5708548.907117391, 696121.4535152443 5708585.263865902, 696092.2239357744 5708624.675391475, 696066.9981097515 5708666.762139571, 696046.01897567 5708711.118791802, 696029.4885740596 5708757.318169357, 696017.566101724 5708804.915346976, 696010.3663785895 5708853.45193782, 696007.9587419257 5708902.460507984, 696010.3663785895 5708951.469078149, 696017.566101724 5709000.005668992, 696029.4885740596 5709047.602846611, 696046.01897567 5709093.802224167, 696066.9981097515 5709138.158876398, 696092.2239357744 5709180.245624494, 696121.4535152443 5709219.657150066, 696154.4053513324 5709256.013898578, 696190.7620998438 5709288.965734665, 696230.1736254159 5709318.195314135, 696272.2603735126 5709343.421140159, 696316.6170257431 5709364.4002742395, 696362.8164032984 5709380.93067585, 696410.4135809176 5709392.853148186, 696458.9501717609 5709400.05287132, 696507.9587419257 5709402.460507984, 696556.9673120904 5709400.05287132, 696605.5039029337 5709392.853148186, 696653.1010805529 5709380.93067585, 696699.3004581082 5709364.4002742395, 696743.6571103387 5709343.421140159, 696785.7438584354 5709318.195314135, 696825.1553840075 5709288.965734665, 696861.5121325189 5709256.013898578, 696894.463968607 5709219.657150066, 696923.6935480769 5709180.245624494, 696948.9193740998 5709138.158876398, 696969.8985081813 5709093.802224167, 696986.4289097917 5709047.602846611, 696998.3513821273 5709000.005668992, 697005.5511052618 5708951.469078149, 697007.9587419257 5708902.460507984))",2,3
"Hampton Street, Walworth",51.49217,-0.101536,21,POINT (701205.5708524947 5708542.35061525),1118,2,0,"POLYGON ((701705.5708524947 5708542.35061525, 701703.1632158308 5708493.3420450855, 701695.9634926963 5708444.805454242, 701684.0410203608 5708397.208276623, 701667.5106187504 5708351.0088990675, 701646.5314846688 5708306.652246837, 701621.3056586459 5708264.56549874, 701592.076079176 5708225.153973168, 701559.124243088 5708188.797224657, 701522.7674945765 5708155.845388569, 701483.3559690044 5708126.615809099, 701441.2692209077 5708101.389983076, 701396.9125686772 5708080.410848995, 701350.7131911219 5708063.880447384, 701303.1160135027 5708051.957975049, 701254.5794226595 5708044.758251914, 701205.5708524947 5708042.35061525, 701156.5622823299 5708044.758251914, 701108.0256914867 5708051.957975049, 701060.4285138674 5708063.880447384, 701014.2291363121 5708080.410848995, 700969.8724840817 5708101.389983076, 700927.7857359849 5708126.615809099, 700888.3742104128 5708155.845388569, 700852.0174619014 5708188.797224657, 700819.0656258133 5708225.153973168, 700789.8360463434 5708264.56549874, 700764.6102203205 5708306.652246837, 700743.631086239 5708351.0088990675, 700727.1006846286 5708397.208276623, 700715.1782122931 5708444.805454242, 700707.9784891586 5708493.3420450855, 700705.5708524947 5708542.35061525, 700707.9784891586 5708591.359185414, 700715.1782122931 5708639.895776258, 700727.1006846286 5708687.492953877, 700743.631086239 5708733.692331432, 700764.6102203205 5708778.048983663, 700789.8360463434 5708820.1357317595, 700819.0656258133 5708859.547257332, 700852.0174619014 5708895.904005843, 700888.3742104128 5708928.855841931, 700927.7857359849 5708958.085421401, 700969.8724840817 5708983.311247424, 701014.2291363121 5709004.290381505, 701060.4285138674 5709020.820783116, 701108.0256914867 5709032.743255451, 701156.5622823299 5709039.942978586, 701205.5708524947 5709042.35061525, 701254.5794226595 5709039.942978586, 701303.1160135027 5709032.743255451, 701350.7131911219 5709020.820783116, 701396.9125686772 5709004.290381505, 701441.2692209077 5708983.311247424, 701483.3559690044 5708958.085421401, 701522.7674945765 5708928.855841931, 701559.124243088 5708895.904005843, 701592.076079176 5708859.547257332, 701621.3056586459 5708820.1357317595, 701646.5314846688 5708778.048983663, 701667.5106187504 5708733.692331432, 701684.0410203608 5708687.492953877, 701695.9634926963 5708639.895776258, 701703.1632158308 5708591.359185414, 701705.5708524947 5708542.35061525))",1,1
"Waterloo Station 3, Waterloo",51.503791,-0.112824,35,POINT (700371.1346097592 5709803.412460054),1072,1,0,"POLYGON ((700871.1346097592 5709803.412460054, 700868.7269730953 5709754.40388989, 700861.5272499608 5709705.867299046, 700849.6047776253 5709658.270121427, 700833.0743760149 5709612.070743872, 700812.0952419334 5709567.714091641, 700786.8694159104 5709525.627343545, 700757.6398364406 5709486.215817972, 700724.6880003525 5709449.859069461, 700688.331251841 5709416.907233373, 700648.919726269 5709387.677653903, 700606.8329781722 5709362.45182788, 700562.4763259417 5709341.472693799, 700516.2769483865 5709324.942292188, 700468.6797707672 5709313.019819853, 700420.143179924 5709305.820096718, 700371.1346097592 5709303.412460054, 700322.1260395944 5709305.820096718, 700273.5894487512 5709313.019819853, 700225.992271132 5709324.942292188, 700179.7928935767 5709341.472693799, 700135.4362413462 5709362.45182788, 700093.3494932494 5709387.677653903, 700053.9379676774 5709416.907233373, 700017.5812191659 5709449.859069461, 699984.6293830778 5709486.215817972, 699955.399803608 5709525.627343545, 699930.173977585 5709567.714091641, 699909.1948435035 5709612.070743872, 699892.6644418931 5709658.270121427, 699880.7419695576 5709705.867299046, 699873.5422464231 5709754.40388989, 699871.1346097592 5709803.412460054, 699873.5422464231 5709852.421030219, 699880.7419695576 5709900.957621062, 699892.6644418931 5709948.554798681, 699909.1948435035 5709994.754176237, 699930.173977585 5710039.110828468, 699955.399803608 5710081.197576564, 699984.6293830778 5710120.609102136, 700017.5812191659 5710156.965850648, 700053.9379676774 5710189.917686735, 700093.3494932494 5710219.147266205, 700135.4362413462 5710244.373092229, 700179.7928935767 5710265.3522263095, 700225.992271132 5710281.88262792, 700273.5894487512 5710293.805100256, 700322.1260395944 5710301.00482339, 700371.1346097592 5710303.412460054, 700420.143179924 5710301.00482339, 700468.6797707672 5710293.805100256, 700516.2769483865 5710281.88262792, 700562.4763259417 5710265.3522263095, 700606.8329781722 5710244.373092229, 700648.919726269 5710219.147266205, 700688.331251841 5710189.917686735, 700724.6880003525 5710156.965850648, 700757.6398364406 5710120.609102136, 700786.8694159104 5710081.197576564, 700812.0952419334 5710039.110828468, 700833.0743760149 5709994.754176237, 700849.6047776253 5709948.554798681, 700861.5272499608 5709900.957621062, 700868.7269730953 5709852.421030219, 700871.1346097592 5709803.412460054))",8,9
"New Kent Road, The Borough",51.494436,-0.092921,33,POINT (701793.480279926 5708818.011829386),966,2,0,"POLYGON ((702293.480279926 5708818.011829386, 702291.0726432621 5708769.003259222, 702283.8729201276 5708720.466668379, 702271.9504477921 5708672.869490759, 702255.4200461817 5708626.670113204, 702234.4409121001 5708582.313460973, 702209.2150860772 5708540.226712877, 702179.9855066073 5708500.815187304, 702147.0336705192 5708464.458438793, 702110.6769220078 5708431.506602705, 702071.2653964357 5708402.277023235, 702029.178648339 5708377.051197212, 701984.8219961085 5708356.072063131, 701938.6226185532 5708339.5416615205, 701891.025440934 5708327.619189185, 701842.4888500908 5708320.41946605, 701793.480279926 5708318.011829386, 701744.4717097612 5708320.41946605, 701695.935118918 5708327.619189185, 701648.3379412987 5708339.5416615205, 701602.1385637434 5708356.072063131, 701557.781911513 5708377.051197212, 701515.6951634162 5708402.277023235, 701476.2836378441 5708431.506602705, 701439.9268893327 5708464.458438793, 701406.9750532446 5708500.815187304, 701377.7454737747 5708540.226712877, 701352.5196477518 5708582.313460973, 701331.5405136703 5708626.670113204, 701315.0101120599 5708672.869490759, 701303.0876397244 5708720.466668379, 701295.8879165899 5708769.003259222, 701293.480279926 5708818.011829386, 701295.8879165899 5708867.020399551, 701303.0876397244 5708915.556990394, 701315.0101120599 5708963.1541680135, 701331.5405136703 5709009.353545569, 701352.5196477518 5709053.7101978, 701377.7454737747 5709095.796945896, 701406.9750532446 5709135.208471469, 701439.9268893327 5709171.56521998, 701476.2836378441 5709204.5170560675, 701515.6951634162 5709233.746635538, 701557.781911513 5709258.972461561, 701602.1385637434 5709279.951595642, 701648.3379412987 5709296.481997252, 701695.935118918 5709308.404469588, 701744.4717097612 5709315.604192723, 701793.480279926 5709318.011829386, 701842.4888500908 5709315.604192723, 701891.025440934 5709308.404469588, 701938.6226185532 5709296.481997252, 701984.8219961085 5709279.951595642, 702029.178648339 5709258.972461561, 702071.2653964357 5709233.746635538, 702110.6769220078 5709204.5170560675, 702147.0336705192 5709171.56521998, 702179.9855066073 5709135.208471469, 702209.2150860772 5709095.796945896, 702234.4409121001 5709053.7101978, 702255.4200461817 5709009.353545569, 702271.9504477921 5708963.1541680135, 702283.8729201276 5708915.556990394, 702291.0726432621 5708867.020399551, 702293.480279926 5708818.011829386))",0,0
"Guildhouse Street, Victoria",51.492345,-0.141334,16,POINT (698442.6312718417 5708453.122597734),3478,3,0,"POLYGON ((698942.6312718417 5708453.122597734, 698940.2236351778 5708404.11402757, 698933.0239120433 5708355.577436727, 698921.1014397078 5708307.980259107, 698904.5710380974 5708261.780881552, 698883.5919040159 5708217.424229321, 698858.366077993 5708175.337481225, 698829.1364985231 5708135.925955652, 698796.184662435 5708099.569207141, 698759.8279139235 5708066.617371053, 698720.4163883515 5708037.387791583, 698678.3296402547 5708012.16196556, 698633.9729880242 5707991.182831479, 698587.773610469 5707974.6524298685, 698540.1764328497 5707962.729957533, 698491.6398420065 5707955.530234398, 698442.6312718417 5707953.122597734, 698393.6227016769 5707955.530234398, 698345.0861108337 5707962.729957533, 698297.4889332145 5707974.6524298685, 698251.2895556592 5707991.182831479, 698206.9329034287 5708012.16196556, 698164.8461553319 5708037.387791583, 698125.4346297599 5708066.617371053, 698089.0778812484 5708099.569207141, 698056.1260451603 5708135.925955652, 698026.8964656905 5708175.337481225, 698001.6706396675 5708217.424229321, 697980.691505586 5708261.780881552, 697964.1611039756 5708307.980259107, 697952.2386316401 5708355.577436727, 697945.0389085056 5708404.11402757, 697942.6312718417 5708453.122597734, 697945.0389085056 5708502.131167899, 697952.2386316401 5708550.667758742, 697964.1611039756 5708598.264936361, 697980.691505586 5708644.464313917, 698001.6706396675 5708688.820966148, 698026.8964656905 5708730.907714244, 698056.1260451603 5708770.319239817, 698089.0778812484 5708806.675988328, 698125.4346297599 5708839.627824415, 698164.8461553319 5708868.857403886, 698206.9329034287 5708894.083229909, 698251.2895556592 5708915.06236399, 698297.4889332145 5708931.5927656, 698345.0861108337 5708943.515237936, 698393.6227016769 5708950.714961071, 698442.6312718417 5708953.122597734, 698491.6398420065 5708950.714961071, 698540.1764328497 5708943.515237936, 698587.773610469 5708931.5927656, 698633.9729880242 5708915.06236399, 698678.3296402547 5708894.083229909, 698720.4163883515 5708868.857403886, 698759.8279139235 5708839.627824415, 698796.184662435 5708806.675988328, 698829.1364985231 5708770.319239817, 698858.366077993 5708730.907714244, 698883.5919040159 5708688.820966148, 698904.5710380974 5708644.464313917, 698921.1014397078 5708598.264936361, 698933.0239120433 5708550.667758742, 698940.2236351778 5708502.131167899, 698942.6312718417 5708453.122597734))",2,2
"Southampton Place, Holborn",51.517606,-0.121328,20,POINT (699720.6108157118 5711316.134458206),1123,0,0,"POLYGON ((700220.6108157118 5711316.134458206, 700218.2031790479 5711267.125888041, 700211.0034559134 5711218.589297198, 700199.0809835779 5711170.992119579, 700182.5505819675 5711124.792742023, 700161.571447886 5711080.436089792, 700136.345621863 5711038.349341696, 700107.1160423931 5710998.9378161235, 700074.164206305 5710962.581067612, 700037.8074577936 5710929.629231525, 699998.3959322216 5710900.3996520545, 699956.3091841248 5710875.173826031, 699911.9525318943 5710854.19469195, 699865.753154339 5710837.66429034, 699818.1559767198 5710825.741818004, 699769.6193858766 5710818.54209487, 699720.6108157118 5710816.134458206, 699671.602245547 5710818.54209487, 699623.0656547038 5710825.741818004, 699575.4684770845 5710837.66429034, 699529.2690995293 5710854.19469195, 699484.9124472988 5710875.173826031, 699442.825699202 5710900.3996520545, 699403.41417363 5710929.629231525, 699367.0574251185 5710962.581067612, 699334.1055890304 5710998.9378161235, 699304.8760095605 5711038.349341696, 699279.6501835376 5711080.436089792, 699258.6710494561 5711124.792742023, 699242.1406478457 5711170.992119579, 699230.2181755102 5711218.589297198, 699223.0184523757 5711267.125888041, 699220.6108157118 5711316.134458206, 699223.0184523757 5711365.14302837, 699230.2181755102 5711413.679619214, 699242.1406478457 5711461.276796833, 699258.6710494561 5711507.476174388, 699279.6501835376 5711551.832826619, 699304.8760095605 5711593.919574715, 699334.1055890304 5711633.331100288, 699367.0574251185 5711669.687848799, 699403.41417363 5711702.639684887, 699442.825699202 5711731.869264357, 699484.9124472988 5711757.09509038, 699529.2690995293 5711778.074224461, 699575.4684770845 5711794.604626072, 699623.0656547038 5711806.527098407, 699671.602245547 5711813.726821542, 699720.6108157118 5711816.134458206, 699769.6193858766 5711813.726821542, 699818.1559767198 5711806.527098407, 699865.753154339 5711794.604626072, 699911.9525318943 5711778.074224461, 699956.3091841248 5711757.09509038, 699998.3959322216 5711731.869264357, 700037.8074577936 5711702.639684887, 700074.164206305 5711669.687848799, 700107.1160423931 5711633.331100288, 700136.345621863 5711593.919574715, 700161.571447886 5711551.832826619, 700182.5505819675 5711507.476174388, 700199.0809835779 5711461.276796833, 700211.0034559134 5711413.679619214, 700218.2031790479 5711365.14302837, 700220.6108157118 5711316.134458206))",4,6
"Sloane Avenue, Knightsbridge",51.493184,-0.167894,27,POINT (696595.619012146 5708474.708891229),3461,3,0,"POLYGON ((697095.619012146 5708474.708891229, 697093.2113754821 5708425.700321064, 697086.0116523476 5708377.163730221, 697074.0891800121 5708329.566552602, 697057.5587784017 5708283.367175046, 697036.5796443202 5708239.010522815, 697011.3538182973 5708196.923774719, 696982.1242388274 5708157.512249147, 696949.1724027393 5708121.1555006355, 696912.8156542279 5708088.203664548, 696873.4041286558 5708058.974085078, 696831.317380559 5708033.7482590545, 696786.9607283286 5708012.769124974, 696740.7613507733 5707996.238723363, 696693.164173154 5707984.316251027, 696644.6275823108 5707977.116527893, 696595.619012146 5707974.708891229, 696546.6104419812 5707977.116527893, 696498.073851138 5707984.316251027, 696450.4766735188 5707996.238723363, 696404.2772959635 5708012.769124974, 696359.920643733 5708033.7482590545, 696317.8338956363 5708058.974085078, 696278.4223700642 5708088.203664548, 696242.0656215528 5708121.1555006355, 696209.1137854647 5708157.512249147, 696179.8842059948 5708196.923774719, 696154.6583799719 5708239.010522815, 696133.6792458904 5708283.367175046, 696117.1488442799 5708329.566552602, 696105.2263719444 5708377.163730221, 696098.0266488099 5708425.700321064, 696095.619012146 5708474.708891229, 696098.0266488099 5708523.717461393, 696105.2263719444 5708572.254052237, 696117.1488442799 5708619.851229856, 696133.6792458904 5708666.050607411, 696154.6583799719 5708710.407259642, 696179.8842059948 5708752.494007738, 696209.1137854647 5708791.905533311, 696242.0656215528 5708828.262281822, 696278.4223700642 5708861.21411791, 696317.8338956363 5708890.44369738, 696359.920643733 5708915.669523403, 696404.2772959635 5708936.648657484, 696450.4766735188 5708953.179059095, 696498.073851138 5708965.10153143, 696546.6104419812 5708972.301254565, 696595.619012146 5708974.708891229, 696644.6275823108 5708972.301254565, 696693.164173154 5708965.10153143, 696740.7613507733 5708953.179059095, 696786.9607283286 5708936.648657484, 696831.317380559 5708915.669523403, 696873.4041286558 5708890.44369738, 696912.8156542279 5708861.21411791, 696949.1724027393 5708828.262281822, 696982.1242388274 5708791.905533311, 697011.3538182973 5708752.494007738, 697036.5796443202 5708710.407259642, 697057.5587784017 5708666.050607411, 697074.0891800121 5708619.851229856, 697086.0116523476 5708572.254052237, 697093.2113754821 5708523.717461393, 697095.619012146 5708474.708891229))",1,1
"Seville Street, Knightsbridge",51.501855,-0.159237,27,POINT (697159.0121749275 5709462.068099589),1177,3,0,"POLYGON ((697659.0121749275 5709462.068099589, 697656.6045382636 5709413.059529425, 697649.4048151291 5709364.522938581, 697637.4823427936 5709316.925760962, 697620.9519411832 5709270.726383407, 697599.9728071017 5709226.369731176, 697574.7469810788 5709184.28298308, 697545.5174016089 5709144.871457507, 697512.5655655208 5709108.514708996, 697476.2088170093 5709075.562872908, 697436.7972914373 5709046.333293438, 697394.7105433405 5709021.107467415, 697350.35389111 5709000.128333334, 697304.1545135548 5708983.597931723, 697256.5573359355 5708971.675459388, 697208.0207450923 5708964.475736253, 697159.0121749275 5708962.068099589, 697110.0036047627 5708964.475736253, 697061.4670139195 5708971.675459388, 697013.8698363003 5708983.597931723, 696967.670458745 5709000.128333334, 696923.3138065145 5709021.107467415, 696881.2270584177 5709046.333293438, 696841.8155328457 5709075.562872908, 696805.4587843342 5709108.514708996, 696772.5069482462 5709144.871457507, 696743.2773687763 5709184.28298308, 696718.0515427534 5709226.369731176, 696697.0724086718 5709270.726383407, 696680.5420070614 5709316.925760962, 696668.6195347259 5709364.522938581, 696661.4198115914 5709413.059529425, 696659.0121749275 5709462.068099589, 696661.4198115914 5709511.0766697535, 696668.6195347259 5709559.613260597, 696680.5420070614 5709607.210438216, 696697.0724086718 5709653.4098157715, 696718.0515427534 5709697.766468002, 696743.2773687763 5709739.853216099, 696772.5069482462 5709779.264741671, 696805.4587843342 5709815.621490182, 696841.8155328457 5709848.57332627, 696881.2270584177 5709877.80290574, 696923.3138065145 5709903.028731763, 696967.670458745 5709924.007865844, 697013.8698363003 5709940.538267455, 697061.4670139195 5709952.46073979, 697110.0036047627 5709959.660462925, 697159.0121749275 5709962.068099589, 697208.0207450923 5709959.660462925, 697256.5573359355 5709952.46073979, 697304.1545135548 5709940.538267455, 697350.35389111 5709924.007865844, 697394.7105433405 5709903.028731763, 697436.7972914373 5709877.80290574, 697476.2088170093 5709848.57332627, 697512.5655655208 5709815.621490182, 697545.5174016089 5709779.264741671, 697574.7469810788 5709739.853216099, 697599.9728071017 5709697.766468002, 697620.9519411832 5709653.4098157715, 697637.4823427936 5709607.210438216, 697649.4048151291 5709559.613260597, 697656.6045382636 5709511.0766697535, 697659.0121749275 5709462.068099589))",2,3
"Eccleston Place, Victoria",51.49395,-0.147624,19,POINT (697999.1160828781 5708614.530400084),3465,3,0,"POLYGON ((698499.1160828781 5708614.530400084, 698496.7084462142 5708565.52182992, 698489.5087230797 5708516.985239076, 698477.5862507442 5708469.388061457, 698461.0558491338 5708423.188683902, 698440.0767150522 5708378.832031671, 698414.8508890293 5708336.745283575, 698385.6213095594 5708297.333758002, 698352.6694734714 5708260.977009491, 698316.3127249599 5708228.025173403, 698276.9011993879 5708198.795593933, 698234.8144512911 5708173.56976791, 698190.4577990606 5708152.590633829, 698144.2584215053 5708136.060232218, 698096.6612438861 5708124.137759883, 698048.1246530429 5708116.938036748, 697999.1160828781 5708114.530400084, 697950.1075127133 5708116.938036748, 697901.5709218701 5708124.137759883, 697853.9737442508 5708136.060232218, 697807.7743666956 5708152.590633829, 697763.4177144651 5708173.56976791, 697721.3309663683 5708198.795593933, 697681.9194407962 5708228.025173403, 697645.5626922848 5708260.977009491, 697612.6108561967 5708297.333758002, 697583.3812767268 5708336.745283575, 697558.1554507039 5708378.832031671, 697537.1763166224 5708423.188683902, 697520.645915012 5708469.388061457, 697508.7234426765 5708516.985239076, 697501.523719542 5708565.52182992, 697499.1160828781 5708614.530400084, 697501.523719542 5708663.538970249, 697508.7234426765 5708712.075561092, 697520.645915012 5708759.672738711, 697537.1763166224 5708805.872116267, 697558.1554507039 5708850.228768498, 697583.3812767268 5708892.315516594, 697612.6108561967 5708931.7270421665, 697645.5626922848 5708968.083790678, 697681.9194407962 5709001.035626765, 697721.3309663683 5709030.265206235, 697763.4177144651 5709055.491032259, 697807.7743666956 5709076.47016634, 697853.9737442508 5709093.00056795, 697901.5709218701 5709104.923040286, 697950.1075127133 5709112.12276342, 697999.1160828781 5709114.530400084, 698048.1246530429 5709112.12276342, 698096.6612438861 5709104.923040286, 698144.2584215053 5709093.00056795, 698190.4577990606 5709076.47016634, 698234.8144512911 5709055.491032259, 698276.9011993879 5709030.265206235, 698316.3127249599 5709001.035626765, 698352.6694734714 5708968.083790678, 698385.6213095594 5708931.7270421665, 698414.8508890293 5708892.315516594, 698440.0767150522 5708850.228768498, 698461.0558491338 5708805.872116267, 698477.5862507442 5708759.672738711, 698489.5087230797 5708712.075561092, 698496.7084462142 5708663.538970249, 698499.1160828781 5708614.530400084))",0,1
"Porchester Place, Paddington",51.514746,-0.165164,18,POINT (696692.1834554379 5710879.371178693),3477,0,0,"POLYGON ((697192.1834554379 5710879.371178693, 697189.775818774 5710830.362608529, 697182.5760956395 5710781.826017685, 697170.653623304 5710734.228840066, 697154.1232216936 5710688.029462511, 697133.144087612 5710643.67281028, 697107.9182615891 5710601.586062184, 697078.6886821192 5710562.174536611, 697045.7368460312 5710525.8177881, 697009.3800975197 5710492.865952012, 696969.9685719477 5710463.636372542, 696927.8818238509 5710438.410546519, 696883.5251716204 5710417.431412438, 696837.3257940651 5710400.901010827, 696789.7286164459 5710388.978538492, 696741.1920256027 5710381.778815357, 696692.1834554379 5710379.371178693, 696643.1748852731 5710381.778815357, 696594.6382944299 5710388.978538492, 696547.0411168106 5710400.901010827, 696500.8417392554 5710417.431412438, 696456.4850870249 5710438.410546519, 696414.3983389281 5710463.636372542, 696374.986813356 5710492.865952012, 696338.6300648446 5710525.8177881, 696305.6782287565 5710562.174536611, 696276.4486492866 5710601.586062184, 696251.2228232637 5710643.67281028, 696230.2436891822 5710688.029462511, 696213.7132875718 5710734.228840066, 696201.7908152363 5710781.826017685, 696194.5910921018 5710830.362608529, 696192.1834554379 5710879.371178693, 696194.5910921018 5710928.379748858, 696201.7908152363 5710976.916339701, 696213.7132875718 5711024.51351732, 696230.2436891822 5711070.712894876, 696251.2228232637 5711115.0695471065, 696276.4486492866 5711157.156295203, 696305.6782287565 5711196.567820775, 696338.6300648446 5711232.924569286, 696374.986813356 5711265.876405374, 696414.3983389281 5711295.105984844, 696456.4850870249 5711320.331810867, 696500.8417392554 5711341.310944948, 696547.0411168106 5711357.841346559, 696594.6382944299 5711369.7638188945, 696643.1748852731 5711376.963542029, 696692.1834554379 5711379.371178693, 696741.1920256027 5711376.963542029, 696789.7286164459 5711369.7638188945, 696837.3257940651 5711357.841346559, 696883.5251716204 5711341.310944948, 696927.8818238509 5711320.331810867, 696969.9685719477 5711295.105984844, 697009.3800975197 5711265.876405374, 697045.7368460312 5711232.924569286, 697078.6886821192 5711196.567820775, 697107.9182615891 5711157.156295203, 697133.144087612 5711115.0695471065, 697154.1232216936 5711070.712894876, 697170.653623304 5711024.51351732, 697182.5760956395 5710976.916339701, 697189.775818774 5710928.379748858, 697192.1834554379 5710879.371178693))",1,3
