Start station,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Cluster
"Abbey Orchard Street, Westminster",0.25,-0.33333333333333326,0.0,0.0,0.0,0.0,-0.051948051948051965,-0.9312499999999999,-5.195454545454545,-2.398547215496368,-1.2448979591836737,-0.1292335115864529,-0.26720867208672083,-0.4466911764705883,-0.29425649095200623,0.3916666666666666,0.8454031843862351,3.38030303030303,1.3777777777777778,0.6762632197414806,0.16666666666666674,0.11250000000000004,-0.125,0.375,0
"Abingdon Green, Westminster",0.375,0.0,0.0,4.0,0.0,0.0,-0.13043478260869557,-0.576086956521739,-2.6858678955453152,-1.0788888888888888,-0.23971797884841362,-0.07999999999999985,0.23529411764705865,-0.11363636363636376,0.03429878048780477,0.32592592592592595,0.4423660262891811,0.846153846153846,0.7529239766081872,0.5142118863049097,0.0037878787878786735,-0.33333333333333326,-0.03571428571428581,-0.0714285714285714,1
"Albany Street, The Regent's Park",-0.19999999999999996,0.0,0.0,0.0,0.0,0.0,-0.3500000000000001,0.3355555555555556,2.7634920634920634,1.3054545454545454,0.8961038961038958,0.6846153846153846,0.11469265367316339,0.25300300300300305,-0.030146425495262807,0.18173758865248213,-0.2849588719153937,-0.8500000000000001,-0.9346153846153844,-0.8107769423558897,-0.5487894350696991,-0.4166666666666665,-0.22857142857142843,-0.05555555555555558,1
"Albert Embankment, Vauxhall",0.0,0.0,0.0,0.0,0.0,0.0,-0.11029411764705888,0.2923538230884559,-0.19659574468085106,0.32501834189288337,0.27635327635327633,-0.1407407407407406,0.11111111111111116,0.20952380952380945,-0.08484848484848495,-0.07373271889400934,0.3886107634543179,0.5839024390243901,0.7386237513873473,-0.03735632183908044,-0.42894736842105274,-0.0625,-0.02499999999999991,0.1071428571428572,1
"Albert Gate, Hyde Park",-2.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111116,-0.9170506912442395,-0.10734463276836159,1.2172191984166254,0.31635581061692974,-0.5609756097560976,1.1181972789115648,0.2060377358490566,0.9747474747474745,0.5823885109599392,0.5923076923076929,1.0877192982456139,1.8920454545454546,0.044070512820512775,0.3928571428571428,-0.3896103896103895,0.39583333333333326,-0.07499999999999996,1
"Aldersgate Street, Barbican",-0.36363636363636354,0.523809523809524,0.0,0.0,0.0,0.0,-1.0651639344262298,-1.621839399833287,0.3138760880696365,1.4032258064516134,0.25633528265107186,-0.1730769230769229,0.1923076923076923,0.1296097386322952,0.10840480274442532,0.609172482552343,0.09872137972048778,-0.21786994367639512,1.3599590373783927,0.09310344827586192,0.11703703703703727,0.8090005232862374,-0.2584047462096244,-0.19636363636363652,0
"Allington Street, Victoria",0.33333333333333326,0.0,0.0,0.0,-0.18181818181818188,-0.1875,0.537784299339692,1.8666004634227074,-0.306451612903226,2.319607843137255,0.7375,0.838345864661654,0.18846899224806202,-0.0695970695970698,-0.11452130096197899,-0.6465038845726969,-1.0564263322884013,-2.893802966101695,0.13942044833242218,0.3681027966742252,0.13946216385240784,0.16410256410256419,0.2999999999999998,0.1367521367521367,1
"Ampton Street , Clerkenwell",-0.11111111111111116,-0.75,1.0,0.0,0.0,0.0,0.15999999999999992,0.2666666666666666,1.4646464646464645,0.7275541795665637,0.6687500000000002,0.3466666666666667,0.09354413702239794,0.2603658536585367,-0.07894736842105265,-0.4431009957325749,0.04256756756756763,-0.05660377358490587,-0.8953405017921148,-0.2137049941927991,-0.7951363301400147,-0.6538461538461537,-0.18333333333333335,0.381578947368421,1
"Archbishop's Park, Waterloo",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9615384615384615,-0.8653576437587658,-0.26086956521739135,-0.14438502673796805,0.07777777777777772,0.050000000000000044,0.12587412587412583,-0.26449275362318847,0.40454545454545454,0.2017241379310344,0.0005370569280342963,0.3388704318936877,0.20606060606060606,0.508695652173913,-0.19999999999999996,0.017857142857142794,-0.017857142857142794,0
"Argyle Street, Kings Cross",-0.08333333333333326,0.7142857142857142,0.16666666666666674,-0.25,-0.15555555555555567,-0.24786324786324787,1.2735849056603774,17.84593837535014,29.91419057377049,8.888618381010346,3.287332339791356,1.738020176544767,0.2778405879027699,-0.2927580893682591,-0.5121212121212122,-3.724056603773585,-11.922423245614034,-28.47643008474576,-14.06875,-2.297394429469901,-0.7606837606837609,-0.6625386996904024,0.5277777777777779,0.17129629629629628,1
"Arundel Street, Temple",0.0,-1.8,0.0,0.0,0.0,0.0,1.0,-0.2681818181818181,-2.8924242424242426,-1.8199999999999998,-0.7613240418118468,-0.32804232804232814,-0.24544179523141652,0.08922558922558932,-0.047272727272727355,0.09523809523809534,0.4600840336134455,1.258974358974359,0.7041866849691145,0.9920814479638009,1.3479069767441858,0.75,-0.2962962962962963,0.3846153846153846,0
"Ashley Place, Victoria",0.1428571428571428,0.0,0.0,0.0,0.0,0.0,-0.3564102564102565,0.7875150060024012,-1.5736070381231673,0.9056603773584904,0.30286738351254483,-0.2872670807453417,0.0904761904761906,-0.027799227799227832,0.06409529211571185,-0.676969696969697,-1.2982456140350875,-0.41748768472906406,-0.01724137931034475,-0.579255319148936,0.16874999999999996,0.24338624338624326,0.11076923076923073,-0.13186813186813207,1
