Station,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill,Borough,lat,long
Tower Hill,30036.0,24595.0,19675.0,33220.0,27252.0,19866.0,2634.36,Tower Hamlets,51.50991,-0.076813
Tufnell Park,6597.0,5234.0,3682.0,6004.0,4349.0,3536.0,508.01,Islington,51.55663,-0.13813
Turnham Green,9699.0,6579.0,4508.0,9809.0,6553.0,4591.0,732.79,Hounslow,51.495143,-0.25406
Turnpike Lane,16200.0,13744.0,9948.0,16215.0,12547.0,9888.0,1344.6,Haringey,51.59031,-0.10308
Stratford,93742.0,93482.0,61629.0,86285.0,87548.0,57524.0,8112.43,Newham,51.541208,-0.003776
Latimer Road,4190.0,2164.0,1532.0,4003.0,1922.0,1457.0,276.53,Kensington and Chelsea,51.513125,-0.218428
Aldgate,15080.0,4397.0,3261.0,16023.0,5909.0,4230.0,918.93,City of London,51.51394,-0.07537
Lambeth North,5443.0,5072.0,3865.0,4887.0,4542.0,3243.0,457.89,Lambeth,51.49894,-0.11216
Canada Water,21804.0,21533.0,14625.0,22150.0,21539.0,14887.0,1964.66,Southwark,51.49787,-0.04967
Canary Wharf,86663.0,36234.0,25994.0,86803.0,37893.0,27770.0,5537.58,Tower Hamlets,51.50362,-0.01987
Canning Town,20492.0,16422.0,12206.0,19892.0,15457.0,11613.0,1651.28,Newham,51.51141,0.09047
Cannon Street,18732.0,4360.0,3117.0,15365.0,3398.0,2955.0,934.74,City of London,51.51141,-0.09047
Canons Park,4900.0,3505.0,2373.0,4777.0,3259.0,2271.0,369.38,Harrow,51.6081,-0.29487
Chalfont & Latimer,2838.0,1286.0,726.0,2964.0,1082.0,573.0,177.81,Chiltern,51.66822,-0.56053
Chalk Farm,8997.0,8721.0,7683.0,8003.0,7056.0,5373.0,771.85,Camden,51.5439,-0.15384
Chancery Lane,31085.0,8066.0,4071.0,32778.0,8195.0,4038.0,1729.01,City of London,51.51836,-0.11115
Charing Cross,30496.0,26272.0,16589.0,29715.0,22288.0,12347.0,2402.49,City of Westminster,51.507108,-0.122963
Chesham,1985.0,1011.0,634.0,1821.0,912.0,564.0,126.55,Chiltern,51.70522733,-0.610986426
Chigwell,1021.0,366.0,188.0,727.0,329.0,160.0,52.92,Epping Forest,51.61795,0.07511
Chiswick Park,3392.0,2074.0,1385.0,3971.0,2026.0,1504.0,256.6,Ealing,51.49466,-0.26866
Chorleywood,1369.0,542.0,328.0,1221.0,545.0,320.0,80.63,Three Rivers,51.65429872,-0.518373353
Clapham Common,15071.0,13320.0,9002.0,16450.0,13870.0,9582.0,1319.8,Lambeth,51.46156,-0.13802
Clapham North,9804.0,9237.0,5746.0,10834.0,9097.0,5874.0,866.09,Lambeth,51.46522,-0.1295
Clapham South,13665.0,10189.0,6726.0,13359.0,9193.0,6880.0,1046.7,Wandsworth,51.45292257,-0.147562148
Cockfosters,2894.0,2998.0,1811.0,2760.0,2576.0,1814.0,251.74,Enfield,51.65117,-0.14811
Colindale,11783.0,8076.0,5503.0,10901.0,6829.0,5108.0,849.48,Barnet,51.59556,-0.24996
Colliers Wood,10755.0,8146.0,5827.0,9870.0,7264.0,5657.0,822.53,Merton,51.41823649,-0.17800983
Covent Garden,22563.0,27532.0,17730.0,24691.0,36587.0,20431.0,2445.46,City of Westminster,51.51308,-0.12427
Croxley,2006.0,887.0,489.0,1877.0,825.0,489.0,122.2,Three Rivers,51.64733268,-0.441479115
Dagenham East,5082.0,3369.0,2099.0,4593.0,2770.0,1795.0,351.52,Barking and Dagenham,51.54396,0.16439
Dagenham Heathway,9800.0,6422.0,4174.0,9711.0,6157.0,4109.0,715.02,Barking and Dagenham,51.54173,0.14543
Debden,4365.0,2100.0,1100.0,4076.0,1836.0,1035.0,269.2,Epping Forest,51.64535,0.08364
Dollis Hill,7035.0,5118.0,3974.0,6107.0,4252.0,3576.0,521.08,Brent,51.5525,-0.23884
Ealing Broadway,27918.0,18907.0,12639.0,25074.0,17762.0,12462.0,2013.87,Ealing,51.51482,-0.30118
Ealing Common,5017.0,3634.0,2486.0,5002.0,3413.0,2470.0,384.72,Ealing,51.50997,-0.28825
